MiesiÄ…c,vacation: (Polska)
2004-01,42
2004-02,100
2004-03,66
2004-04,90
2004-05,82
2004-06,41
2004-07,80
2004-08,51
2004-09,41
2004-10,46
2004-11,44
2004-12,80
2005-01,62
2005-02,33
2005-03,19
2005-04,46
2005-05,46
2005-06,54
2005-07,76
2005-08,93
2005-09,37
2005-10,33
2005-11,7
2005-12,33
2006-01,33
2006-02,41
2006-03,62
2006-04,69
2006-05,70
2006-06,38
2006-07,80
2006-08,68
2006-09,55
2006-10,43
2006-11,42
2006-12,46
2007-01,63
2007-02,68
2007-03,80
2007-04,81
2007-05,78
2007-06,90
2007-07,74
2007-08,54
2007-09,47
2007-10,41
2007-11,39
2007-12,49
2008-01,51
2008-02,52
2008-03,42
2008-04,55
2008-05,40
2008-06,49
2008-07,75
2008-08,50
2008-09,36
2008-10,45
2008-11,44
2008-12,24
2009-01,36
2009-02,30
2009-03,18
2009-04,25
2009-05,26
2009-06,30
2009-07,61
2009-08,38
2009-09,23
2009-10,20
2009-11,27
2009-12,33
2010-01,25
2010-02,36
2010-03,30
2010-04,38
2010-05,31
2010-06,51
2010-07,48
2010-08,47
2010-09,29
2010-10,25
2010-11,30
2010-12,33
2011-01,37
2011-02,30
2011-03,29
2011-04,26
2011-05,30
2011-06,49
2011-07,67
2011-08,51
2011-09,28
2011-10,34
2011-11,29
2011-12,42
2012-01,28
2012-02,33
2012-03,31
2012-04,31
2012-05,73
2012-06,44
2012-07,65
2012-08,43
2012-09,35
2012-10,26
2012-11,23
2012-12,30
2013-01,26
2013-02,32
2013-03,26
2013-04,31
2013-05,31
2013-06,35
2013-07,43
2013-08,37
2013-09,28
2013-10,20
2013-11,28
2013-12,37
2014-01,30
2014-02,25
2014-03,27
2014-04,26
2014-05,32
2014-06,40
2014-07,49
2014-08,43
2014-09,29
2014-10,25
2014-11,27
2014-12,38
2015-01,27
2015-02,26
2015-03,26
2015-04,27
2015-05,41
2015-06,51
2015-07,57
2015-08,52
2015-09,73
2015-10,60
2015-11,53
2015-12,70
2016-01,48
2016-02,34
2016-03,37
2016-04,33
2016-05,37
2016-06,53
2016-07,61
2016-08,58
2016-09,34
2016-10,32
2016-11,30
2016-12,45
2017-01,35
2017-02,31
2017-03,26
2017-04,29
2017-05,39
2017-06,40
2017-07,48
2017-08,39
2017-09,32
2017-10,22
2017-11,25
2017-12,32
2018-01,29
2018-02,24
2018-03,30
2018-04,44
2018-05,41
2018-06,49
2018-07,56
2018-08,48
2018-09,44
2018-10,36
2018-11,30
2018-12,44
2019-01,42
2019-02,40
2019-03,34
2019-04,42
2019-05,39
2019-06,61
2019-07,63
2019-08,56
2019-09,47
2019-10,31
2019-11,38
2019-12,47
2020-01,40
2020-02,38
2020-03,34
2020-04,29
2020-05,32
2020-06,45
2020-07,56
2020-08,52
2020-09,38
2020-10,25
2020-11,29
2020-12,34
2021-01,33
2021-02,36
2021-03,33
2021-04,36
2021-05,45
2021-06,57
2021-07,75
2021-08,68
2021-09,54
2021-10,34
2021-11,34
2021-12,65
2022-01,64
2022-02,83
2022-03,47
